Phenotype	PheCode	30-39	40-49	50-59	60-69	70-79
Galactorrhea	612.1	0.0	0.01	0.0	0.0	0.0
Mastodynia	613.5	0.0	0.03	0.02	0.02	0.04
Other signs and symptoms in breast	613.7	0.0	0.13	0.12	0.12	0.12
Other specified disorders of breast	613.8	0.0	0.11	0.09	0.08	0.04
Breast disorder NOS	613.9	0.0	0.04	0.05	0.05	0.04
Pelvic inflammatory disease (PID)	614.3	0.0	0.08	0.04	0.02	0.0
Acute inflammatory pelvic disease	614.31	0.0	0.02	0.02	0.0	0.0
Chronic inflammatory pelvic disease	614.32	0.0	0.21	0.11	0.06	0.17
Inflammatory disease of cervix, vagina, and vulva	614.5	0.0	0.03	0.04	0.05	0.04
Inflammatory diseases of uterus, except cervix	614.4	0.0	0.13	0.08	0.05	0.0
Cervicitis and endocervicitis	614.51	0.0	0.37	0.34	0.21	0.13
Inflammatory diseases of female pelvic organs	614.0	0.0	0.01	0.01	0.0	0.0
Pelvic inflammatory disease, NOS	614.33	0.0	0.17	0.07	0.04	0.0
Pelvic peritoneal adhesions, female (postoperative) (postinfection)	614.1	0.0	1.28	0.69	0.42	0.42
Cyst or abscess of Bartholin's gland	614.53	0.0	0.3	0.23	0.1	0.0
Vaginitis and vulvovaginitis	614.52	0.0	0.12	0.1	0.11	0.04
Abscess or ulceration of vulva	614.54	0.0	0.11	0.07	0.05	0.04
Endometriosis	615.0	0.0	2.04	1.05	0.42	0.21
Uterine/Uterovaginal prolapse	618.2	0.0	0.72	1.31	1.92	1.57
Vaginal enterocele, congenital or acquired	618.6	0.0	0.07	0.16	0.26	0.43
Genital prolapse	618.0	0.0	0.07	0.11	0.14	0.04
Disorders secondary to childbirth, surgery, trauma	617.0	0.0	0.1	0.09	0.08	0.04
Noninflammatory disorders of ovary, fallopian tube, and broad ligament	619.1	0.0	0.3	0.21	0.14	0.29
Ovarian cyst	628.0	0.0	2.04	1.38	0.82	0.68
Atrophy of female genital tract	624.2	0.0	0.04	0.12	0.2	0.17
Polyp of corpus uteri	622.1	0.0	1.77	2.37	2.13	1.62
Mucous polyp of cervix	622.2	0.0	0.71	0.97	0.8	0.29
Polyp of female genital organs	622.0	0.0	0.05	0.05	0.06	0.13
Endometrial hyperplasia	621.0	0.0	0.25	0.35	0.3	0.08
Hypertrophy of female genital organs	623.0	0.0	0.53	0.38	0.2	0.08
Other complications of the puerperium NEC	674.0	0.0	0.29	0.01	0.0	0.0
Disorders of uterus, NEC	619.2	0.0	0.81	0.95	0.92	0.71
Disorders of menstruation and other abnormal bleeding from female genital tract	626.0	0.0	0.71	0.48	0.28	0.3
Noninflammatory disorders of cervix	619.3	0.0	1.01	0.76	0.51	0.54
Symptoms involving female genital tract	624.0	0.0	0.0	0.0	0.01	0.0
Dysplasia of female genital organs	620.0	0.0	0.03	0.02	0.02	0.0
Noninflammatory disorders of vagina	619.4	0.0	0.5	0.43	0.38	0.38
Irregular menstrual cycle/bleeding	626.1	0.0	0.64	0.62	0.23	0.04
Dystrophy of female genital tract	624.1	0.0	0.03	0.08	0.1	0.08
Noninflammatory disorders of vulva and perineum	619.5	0.0	0.47	0.36	0.31	0.17
Absent or infrequent menstruation	626.11	0.0	0.07	0.04	0.01	0.0
Excessive or frequent menstruation	626.12	0.0	5.03	2.99	0.48	0.09
Irregular menstrual bleeding	626.14	0.0	1.83	1.29	0.29	0.09
Premenopausal menorrhagia	627.4	0.0	0.09	0.13	0.04	0.0
Irregular menstrual cycle	626.13	0.0	0.67	0.62	0.21	0.04
Pain and other symptoms associated with female genital organs	625.0	0.0	0.88	0.54	0.23	0.21
Mittelschmerz	626.21	0.0	0.01	0.01	0.0	0.0
Dyspareunia	625.1	0.0	0.53	0.26	0.13	0.0
Premenstrual tension syndromes	626.4	0.0	0.1	0.04	0.0	0.0
Dysmenorrhea	626.2	0.0	1.05	0.47	0.04	0.0
Noninflammatory female genital disorders	619.0	0.0	0.07	0.06	0.03	0.0
Postmenopausal bleeding	627.1	0.0	0.83	2.63	3.17	2.56
Symptomatic menopause	627.2	0.0	0.03	0.06	0.05	0.13
Postmenopausal atrophic vaginitis	627.3	0.0	0.07	0.31	0.48	0.47
Menopausal and postmenopausal disorders	627.0	0.0	0.07	0.19	0.18	0.21
Miscarriage; stillbirth	634.0	0.0	4.5	0.34	0.0	0.0
Infertility, female	626.8	0.0	1.09	0.09	0.0	0.0
Infertility, female, associated with anovulation	626.15	0.0	0.01	0.0	0.0	0.0
Postoperative infection	80.0	0.0	0.92	1.19	1.45	1.91
Prolapse of vaginal vault after hysterectomy	618.5	0.0	0.04	0.11	0.2	0.26
Urinary complications NEC	597.2	0.0	0.01	0.02	0.03	0.0
Ectopic pregnancy	634.3	0.0	0.31	0.01	0.0	0.0
Missed abortion/Hydatidiform mole	634.1	0.0	1.25	0.11	0.0	0.0
Hypertension complicating pregnancy, childbirth, and the puerperium	642.0	0.0	1.07	0.05	0.0	0.0
Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	649.0	0.0	0.13	0.0	0.0	0.0
Other complications of pregnancy NEC	646.0	0.0	2.55	0.11	0.0	0.0
Preeclampsia and eclampsia	642.1	0.0	0.35	0.02	0.0	0.0
Hemorrhage in early pregnancy	636.3	0.0	0.97	0.05	0.0	0.0
Excessive vomiting in pregnancy	643.0	0.0	0.12	0.0	0.0	0.0
Hyperemesis gravidarum	643.1	0.0	0.16	0.01	0.0	0.0
Venous/cerebrovascular complications embolism in pregnancy and the puerperium	671.0	0.0	0.21	0.01	0.0	0.0
Infections of genitourinary tract during pregnancy	647.1	0.0	0.3	0.01	0.0	0.0
Diabetes or abnormal glucose tolerance complicating pregnancy	649.1	0.0	0.24	0.01	0.0	0.0
Mechanical complication of unspecified genitourinary device, implant, and graft	857.0	0.0	0.29	0.35	0.5	0.58
Complications of labor and delivery NEC	669.0	0.0	2.96	0.13	0.0	0.0
Other perinatal conditions of fetus or newborn	656.0	0.0	0.57	0.03	0.0	0.0
Multiple gestation	651.0	0.0	0.37	0.02	0.0	0.0
Malposition and malpresentation of fetus or obstruction	652.0	0.0	1.87	0.08	0.0	0.0
Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium	654.1	0.0	1.34	0.06	0.0	0.0
Cervical incompetence	636.8	0.0	0.05	0.0	0.0	0.0
Known or suspected fetal abnormality affecting management of mother	655.0	0.0	4.7	0.22	0.0	0.0
Complications of in utero procedures	679.0	0.0	0.06	0.0	0.0	0.0
Rhesus isoimmunization in pregnancy	654.2	0.0	0.3	0.01	0.0	0.0
Problems associated with amniotic cavity and membranes	653.0	0.0	1.7	0.07	0.0	0.0
Antepartum hemorrhage, abruptio placentae, and placenta previa	635.2	0.0	1.02	0.04	0.0	0.0
Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)	794.0	0.0	0.1	0.01	0.01	0.0
Early or threatened labor; hemorrhage in early pregnancy	636.0	0.0	1.19	0.03	0.0	0.0
Late pregnancy and failed induction	645.0	0.0	1.32	0.05	0.0	0.0
Early onset of delivery	636.2	0.0	0.74	0.03	0.0	0.0
Fetal distress and abnormal forces of labor	661.0	0.0	2.47	0.08	0.0	0.0
Umbilical cord complications during labor and delivery	663.0	0.0	0.68	0.04	0.0	0.0
Obstetrical/birth trauma	665.0	0.0	5.76	0.2	0.0	0.0
Hemorrhage during pregnancy; childbirth and postpartum	635.0	0.0	0.0	0.0	0.0	0.0
Placenta previa and abruptio placenta	635.3	0.0	1.45	0.05	0.0	0.0
Coagulation defects complicating pregnancy or postpartum	286.3	0.0	0.07	0.0	0.0	0.0
Complications of the administration of anesthetic or other sedation in labor and delivery	668.0	0.0	0.05	0.0	0.0	0.0
Infectious and parasitic complications affecting pregnancy	647.0	0.0	0.1	0.0	0.0	0.0
Normal delivery	650.0	0.0	2.11	0.1	0.0	0.0
Major puerperal infection	647.3	0.0	0.05	0.0	0.0	0.0
Other and unspecified complications of birth; puerperium affecting management of mother	654.0	0.0	0.08	0.0	0.0	0.0
Other disorders of the breast associated with childbirth and disorders of lactation	676.0	0.0	0.07	0.0	0.0	0.0
Anemia during pregnancy	644.0	0.0	0.92	0.05	0.0	0.0
Maternal complication of pregnancy affecting fetus or newborn	658.0	0.0	0.0	0.0	0.0	0.0
Short gestation; low birth weight; and fetal growth retardation	637.0	0.0	0.0	0.0	0.0	0.0
Transitory tachypnea or apnea of newborn	656.26	0.0	0.0	0.0	0.0	0.0
Interstitial emphysema and related conditions of newborn	656.22	0.0	0.0	0.0	0.0	0.0
Cardiac and circulatory congenital anomalies	747.0	0.0	0.01	0.01	0.0	0.0
Hematological disorders of newborn	656.5	0.0	0.0	0.0	0.0	0.0
Conditions involving the integument and temperature regulation of fetus and newborn	656.7	0.0	0.0	0.0	0.0	0.0
Neural tube defects	752.1	0.0	0.02	0.02	0.02	0.0
Nervous system congenital anomalies	752.0	0.0	0.0	0.0	0.0	0.0
Spina bifida	752.11	0.0	0.08	0.06	0.05	0.08
Cardiac congenital anomalies	747.1	0.0	0.06	0.06	0.06	0.08
Congenital anomalies of face and neck	749.0	0.0	0.09	0.07	0.05	0.0
Congenital anomalies of the eye	753.0	0.0	0.02	0.01	0.01	0.0
Congenital cataract and lens anomalies	753.1	0.0	0.02	0.02	0.02	0.0
Congenital anomalies of posterior segment of eye	753.2	0.0	0.0	0.01	0.0	0.0
Cardiac shunt/ heart septal defect	747.11	0.0	0.18	0.17	0.15	0.17
Valvular heart disease/ heart chambers	747.12	0.0	0.06	0.07	0.08	0.25
Congenital anomalies of peripheral vascular system	747.2	0.0	0.04	0.05	0.05	0.04
Anomalies of respiratory system, congenital	748.0	0.0	0.01	0.01	0.02	0.0
Congenital anomalies of mouth/tongue	750.13	0.0	0.02	0.04	0.08	0.21
Upper gastrointestinal congenital anomalies	750.1	0.0	0.01	0.0	0.01	0.04
Congenital anomalies of esophagus	750.14	0.0	0.0	0.01	0.02	0.0
Esophageal atresia/tracheoesophageal fistula	750.11	0.0	0.01	0.01	0.01	0.04
Congenital hypertrophic pyloric stenosis	750.5	0.0	0.0	0.0	0.0	0.0
Congenital anomalies of stomach	750.15	0.0	0.01	0.01	0.02	0.04
Congenital anomalies of intestine	750.21	0.0	0.05	0.06	0.07	0.0
Congenital anomaly of gallbladder, bile ducts, liver, pancreas	750.22	0.0	0.02	0.03	0.04	0.04
Digestive congenital anomalies	750.0	0.0	0.0	0.0	0.0	0.0
Lower gastrointestinal congenital anomalies	750.2	0.0	0.0	0.0	0.0	0.0
Congenital anomalies of female genital organs	751.11	0.0	0.2	0.11	0.07	0.08
Congenital anomalies of genital organs	751.1	0.0	0.02	0.01	0.01	0.04
Congenital anomalies of male genital organs	751.12	0.0	0.05	0.04	0.07	0.08
Other specified congenital anomalies of kidney	751.22	0.0	0.08	0.09	0.12	0.25
Cystic kidney disease	751.21	0.0	0.08	0.11	0.15	0.17
Obstructive genitourinary defect	751.3	0.0	0.01	0.0	0.01	0.0
Congenital anomalies of urinary system	751.2	0.0	0.02	0.02	0.03	0.0
Congenital hip dysplasia and deformity	755.61	0.0	0.05	0.03	0.02	0.0
Congenital deformities of feet	755.1	0.0	0.05	0.05	0.07	0.0
Congenital musculoskeletal deformities of spine	754.0	0.0	0.04	0.03	0.02	0.08
Pectus excavatum	756.21	0.0	0.0	0.0	0.01	0.0
Pectus carinatum	756.22	0.0	0.0	0.0	0.0	0.0
Other congenital musculoskeletal anomalies	756.0	0.0	0.02	0.01	0.01	0.0
Congenital anomalies of upper limb, including shoulder girdle	755.4	0.0	0.01	0.01	0.01	0.0
Other congenital anomalies of lower limb, including pelvic girdle	755.6	0.0	0.02	0.02	0.01	0.0
Congenital anomaly of fingers/toes	755.3	0.0	0.01	0.01	0.01	0.04
Congenital anomalies of limbs	755.0	0.0	0.0	0.0	0.0	0.0
Congenital anomalies of skull and face bones	749.2	0.0	0.01	0.01	0.01	0.04
Spondylolisthesis, congenital	754.2	0.0	0.0	0.0	0.0	0.0
Pectus and other congenital anomalies of ribs/sternum	756.2	0.0	0.0	0.0	0.0	0.0
Congenital anomalies of abdominal wall; diaphram	756.1	0.0	0.0	0.01	0.01	0.0
Congenital anomalies of muscle, tendon, fascia, and connective tissue	756.3	0.0	0.04	0.02	0.02	0.0
Ichthyosis congenita	691.1	0.0	0.0	0.0	0.0	0.0
Congenital anomalies of skin	691.0	0.0	0.02	0.02	0.03	0.0
Congenital anomalies of the integument	757.0	0.0	0.0	0.0	0.01	0.0
Congenital pigmentary anomalies of skin	691.3	0.0	0.0	0.01	0.01	0.0
Vascular hamartomas and non-neoplastic nevi	217.0	0.0	0.01	0.02	0.01	0.0
Congenital anomalies of breast	612.3	0.0	0.05	0.02	0.01	0.0
Neurofibromatosis	199.4	0.0	0.02	0.03	0.03	0.1
Other and unspecified congenital anomalies	759.0	0.0	0.03	0.04	0.04	0.04
Chromosomal anomalies and genetic disorders	758.0	0.0	0.03	0.03	0.02	0.04
Anomalies of endocrine glands, congenital	759.1	0.0	0.02	0.03	0.02	0.04
Chromosomal anomalies	758.1	0.0	0.04	0.03	0.03	0.04
Abnormal heart sounds	396.0	0.0	0.24	0.27	0.45	0.78
Tachycardia NOS	427.7	0.0	0.49	0.66	1.04	1.46
Palpitations	427.9	0.0	0.88	1.1	1.49	1.51
Gangrene	791.0	0.0	0.11	0.17	0.25	0.25
Elevated blood pressure reading without diagnosis of hypertension	402.0	0.0	0.27	0.45	0.89	0.87
Hypotension	458.0	0.0	0.17	0.28	0.55	1.15
Hemoptysis	516.1	0.0	0.33	0.51	0.81	0.7
Epistaxis or throat hemorrhage	477.0	0.0	0.32	0.54	1.07	1.22
Cough	512.8	0.0	0.59	0.83	1.21	1.37
Shortness of breath	512.7	0.0	1.08	1.6	2.51	3.43
Wheezing	512.1	0.0	0.05	0.07	0.11	0.09
Apnea	513.31	0.0	0.0	0.0	0.0	0.0
Hyperventilation	513.4	0.0	0.08	0.07	0.07	0.08
Symptoms involving head and neck	293.0	0.0	0.55	0.63	0.5	0.25
Other dyspnea	512.9	0.0	0.18	0.24	0.34	0.3
Throat pain	478.0	0.0	0.08	0.11	0.13	0.0
Painful respiration	512.2	0.0	0.05	0.07	0.07	0.09
Precordial pain	418.1	0.0	0.87	1.21	1.45	1.67
Nonspecific chest pain	418.0	0.0	5.78	7.79	9.63	11.49
Respiratory arrest	509.5	0.0	0.02	0.04	0.05	0.05
Abnormal sputum	516.0	0.0	0.01	0.02	0.04	0.0
Symptoms involving cardiovascular system	429.3	0.0	0.04	0.05	0.08	0.04
Nausea and vomiting	789.0	0.0	2.69	3.15	4.07	5.5
Heartburn	530.9	0.0	0.44	0.66	0.78	1.29
Dysphagia	532.0	0.0	1.29	2.0	2.88	3.83
Flatulence	561.2	0.0	0.53	0.61	0.8	1.11
Symptoms involving digestive system	561.0	0.0	3.19	4.82	6.45	8.37
Splenomegaly	579.2	0.0	0.09	0.14	0.18	0.36
Hepatomegaly	573.3	0.0	0.06	0.1	0.11	0.09
Jaundice (not of newborn)	573.5	0.0	0.14	0.25	0.35	0.56
Ascites (non malignant)	572.0	0.0	0.25	0.44	0.68	0.99
Other symptoms involving abdomen and pelvis	579.0	0.0	0.25	0.31	0.41	0.5
Nonspecific abnormal findings in stool contents	579.8	0.0	0.27	0.62	0.79	0.72
Disturbance of skin sensation	687.4	0.0	0.89	0.85	0.78	1.26
Localized superficial swelling, mass, or lump	687.2	0.0	0.05	0.05	0.07	0.21
Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	293.1	0.0	0.21	0.25	0.27	0.17
Symptoms involving respiratory system and other chest symptoms	519.9	0.0	0.07	0.08	0.1	0.04
Musculoskeletal symptoms referable to limbs	771.0	0.0	0.17	0.21	0.28	0.46
Symptoms affecting skin	687.0	0.0	0.04	0.06	0.1	0.13
Pallor and flushing	782.6	0.0	0.04	0.05	0.06	0.0
Spontaneous ecchymoses	287.1	0.0	0.02	0.04	0.04	0.0
Changes in skin texture	687.3	0.0	0.01	0.03	0.04	0.0
Abnormal involuntary movements	350.1	0.0	0.22	0.26	0.35	0.67
Abnormality of gait	350.2	0.0	0.26	0.44	1.0	2.04
Difficulty in walking	741.3	0.0	0.03	0.04	0.08	0.12
Lack of coordination	350.3	0.0	0.07	0.09	0.14	0.21
Abnormal reflex	350.5	0.0	0.01	0.0	0.0	0.0
Abnormal posture	781.2	0.0	0.0	0.0	0.0	0.0
Dysuria	599.3	0.0	0.27	0.32	0.44	0.56
Other symptoms involving urinary system	599.8	0.0	0.01	0.01	0.02	0.09
Retention of urine	599.2	0.0	0.73	1.53	3.64	6.33
Oliguria and anuria	599.6	0.0	0.01	0.03	0.06	0.05
Frequency of urination and polyuria	599.5	0.0	0.64	0.96	1.49	2.04
Urethral discharge	599.7	0.0	0.01	0.01	0.01	0.0
Other abnormality of urination	599.9	0.0	0.25	0.44	0.73	1.08
Abnormal findings on examination of urine	598.0	0.0	0.49	0.78	1.23	1.45
Neurological disorders	292.0	0.0	0.07	0.12	0.26	0.35
Altered mental status	292.4	0.0	0.26	0.51	1.24	2.57
Memory loss	292.3	0.0	0.12	0.18	0.3	0.48
Dizziness and giddiness (Light-headedness and vertigo)	386.9	0.0	0.93	1.24	1.87	2.84
Disturbances of sensation of smell and taste	350.6	0.0	0.01	0.01	0.02	0.0
Hallucinations	292.6	0.0	0.08	0.08	0.15	0.09
Aphasia/speech disturbance	292.1	0.0	0.27	0.39	0.67	1.0
Symbolic dysfunction	292.12	0.0	0.01	0.0	0.01	0.04
Voice disturbance	473.4	0.0	0.16	0.26	0.4	0.31
Fever of unknown origin	783.0	0.0	0.91	1.09	1.41	1.9
Acute pain	338.1	0.0	0.1	0.11	0.14	0.25
Chronic pain	338.2	0.0	0.12	0.14	0.11	0.12
Syncope and collapse	788.0	0.0	1.53	2.17	3.62	5.71
Cardiogenic shock	797.1	0.0	0.01	0.02	0.05	0.04
Shock	797.0	0.0	0.01	0.01	0.02	0.04
Hemorrhage NOS	459.1	0.0	0.01	0.02	0.04	0.0
Edema	782.3	0.0	0.23	0.45	0.89	1.49
Hyperhidrosis	705.8	0.0	0.16	0.16	0.21	0.3
Lack of normal physiological development, unspecified	264.9	0.0	0.0	0.01	0.01	0.0
Anorexia	260.6	0.0	0.14	0.21	0.37	0.54
Polydipsia	276.8	0.0	0.03	0.04	0.03	0.09
Polyphagia	260.7	0.0	0.0	0.0	0.0	0.0
Abnormal weight gain	278.4	0.0	0.01	0.02	0.02	0.0
Hypothermia/Chills	780.0	0.0	0.03	0.06	0.08	0.08
Elevated sedimentation rate	790.1	0.0	0.01	0.02	0.04	0.0
Nonspecific findings on examination of blood	790.0	0.0	0.03	0.04	0.08	0.17
Impaired fasting glucose	250.41	0.0	0.08	0.07	0.13	0.23
Other abnormal glucose	250.42	0.0	0.09	0.13	0.17	0.09
Abnormal serum enzyme levels	573.9	0.0	0.04	0.06	0.1	0.04
Other immunological findings	279.7	0.0	0.02	0.06	0.1	0.41
Glycosuria or Acetonuria	250.5	0.0	0.09	0.02	0.02	0.05
Other nonspecific findings on examination of urine	598.9	0.0	0.04	0.07	0.13	0.21
Nonspecific abnormal findings in cerebrospinal fluid	346.3	0.0	0.01	0.01	0.01	0.0
Abnormal spermatozoa	609.2	0.0	0.01	0.02	0.08	0.28
Abnormal findings examination of lungs	514.0	0.0	0.3	0.64	1.2	1.9
Abnormal mammogram	611.1	0.0	0.01	0.01	0.02	0.0
Nonspecific abnormal findings on radiological and other examination of skull and head	346.1	0.0	0.03	0.04	0.06	0.09
Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	793.2	0.0	0.1	0.15	0.25	0.12
Nonspecific abnormal findings on radiological and other examination of biliary tract	575.9	0.0	0.06	0.1	0.16	0.22
Abnormal findings on exam of gastrointestinal tract/ abdominal area	564.8	0.0	0.31	0.57	0.95	1.47
Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	793.0	0.0	0.02	0.04	0.06	0.08
Nonspecific abnormal results of function study of brain and central nervous system	346.2	0.0	0.01	0.0	0.01	0.05
Abnormal findings on study of brain and/or nervous system	346.0	0.0	0.0	0.0	0.0	0.0
Abnormal results of function study of pulmonary system	514.1	0.0	0.01	0.01	0.02	0.04
Abnormal function study of cardiovascular system	429.2	0.0	0.09	0.15	0.24	0.17
Abnormal results of function study of kidney	589.0	0.0	0.01	0.03	0.06	0.09
Abnormal results of function study of liver	573.7	0.0	0.66	1.0	1.44	1.84
Abnormal results of function study of thyroid	246.7	0.0	0.01	0.01	0.02	0.0
Nonspecific abnormal results of other endocrine function study	259.1	0.0	0.01	0.01	0.01	0.0
Superficial injury without mention of infection	915.0	0.0	1.03	1.16	1.61	2.99
Contusion	916.0	0.0	0.31	0.35	0.52	0.74
Other open wound of head and face	870.3	0.0	0.67	0.78	1.03	1.39
Open wound or laceration of eye or eyelid	870.1	0.0	0.13	0.14	0.17	0.13
Open wound of nose and sinus	870.4	0.0	0.06	0.07	0.09	0.09
Open wound of ear	870.2	0.0	0.05	0.05	0.05	0.04
Open wound of lip and mouth	870.5	0.0	0.12	0.11	0.11	0.09
Skull and face fracture and other intercranial injury	819.0	0.0	0.38	0.28	0.22	0.17
Broken tooth	873.0	0.0	0.02	0.03	0.03	0.0
Concussion	817.0	0.0	0.02	0.01	0.02	0.04
Intracranial hemorrhage (injury)	818.0	0.0	0.03	0.03	0.04	0.17
Traumatic amputation	872.0	0.0	0.11	0.12	0.12	0.13
Open wound of neck	870.6	0.0	0.04	0.04	0.03	0.0
Spinal cord injury without evidence of spinal bone injury	952.0	0.0	0.02	0.02	0.03	0.08
Open wounds of head; neck; and trunk	870.0	0.0	0.07	0.06	0.04	0.0
Fracture of unspecified bones	809.0	0.0	0.02	0.02	0.03	0.0
Fracture of ribs	807.0	0.0	0.05	0.08	0.09	0.13
Fracture of clavicle or scapula	803.3	0.0	0.06	0.07	0.07	0.04
Open wound of genital organs	870.8	0.0	0.03	0.02	0.01	0.04
Fracture of pelvis	802.0	0.0	0.02	0.02	0.04	0.0
Open wounds of extremities	871.0	0.0	1.34	1.15	1.14	1.56
Fracture of humerus	803.1	0.0	0.03	0.06	0.09	0.08
Fracture of upper limb	803.0	0.0	0.07	0.06	0.06	0.17
Fracture of radius and ulna	803.2	0.0	0.13	0.17	0.25	0.29
Fracture of hand or wrist	804.0	0.0	0.17	0.15	0.13	0.13
Joint/ligament sprain	840.3	0.0	0.07	0.05	0.04	0.0
Sprains and strains	840.0	0.0	0.12	0.1	0.08	0.0
Fracture of unspecified part of femur	800.2	0.0	0.02	0.03	0.03	0.04
Fracture of neck of femur	800.1	0.0	0.01	0.04	0.09	0.21
Fracture of lower limb	800.0	0.0	0.09	0.11	0.14	0.04
Fracture of patella	800.4	0.0	0.02	0.03	0.04	0.13
Fracture of tibia and fibula	800.3	0.0	0.09	0.1	0.1	0.13
Fracture of ankle and foot	801.0	0.0	0.08	0.09	0.1	0.25
Open wound of toe(s)	871.4	0.0	0.02	0.03	0.02	0.04
Open wound of foot except toe(s) alone	871.3	0.0	0.06	0.04	0.05	0.04
Fracture of foot	801.1	0.0	0.01	0.0	0.01	0.04
Poisoning by antibiotics	960.0	0.0	0.83	1.08	1.43	1.46
Allergy/adverse effect of penicillin	960.2	0.0	3.87	4.69	5.61	6.74
Adverse effects of antibacterials (not penicillins)	960.1	0.0	0.01	0.02	0.03	0.09
Poisoning/allergy of sulfonamides	961.1	0.0	0.19	0.26	0.32	0.23
Poisoning by other anti-infectives	961.0	0.0	0.09	0.13	0.18	0.42
Hormones and synthetic substitutes causing adverse effects in therapeutic use	962.3	0.0	0.07	0.11	0.14	0.37
Poisoning by hormones and synthetic substitutes	962.0	0.0	0.05	0.06	0.04	0.09
Poisoning by primarily systemic agents	963.0	0.0	0.09	0.05	0.03	0.05
Poisoning by analgesics, antipyretics, and antirheumatics	965.0	0.0	1.7	1.76	2.08	2.84
Salicylates causing adverse effects in therapeutic use	965.3	0.0	0.1	0.11	0.11	0.23
Poisoning by psychotropic agents	969.0	0.0	0.83	0.56	0.33	0.14
Poisoning by anticonvulsants and anti-Parkinsonism drugs	966.0	0.0	0.23	0.16	0.1	0.09
Poisoning by drugs primarily affecting the autonomic nervous system	971.0	0.0	0.08	0.06	0.04	0.0
Antineoplastic and immunosuppressive drugs causing adverse effects	963.1	0.0	0.01	0.01	0.01	0.0
Poisoning by agents primarily affecting blood constituents	964.0	0.0	0.01	0.0	0.0	0.0
Anticoagulants causing adverse effects	964.1	0.0	0.04	0.07	0.13	0.37
Poisoning by agents primarily affecting the cardiovascular system	972.0	0.0	0.07	0.09	0.06	0.0
Poisoning by agents primarily affecting the gastrointestinal system	973.0	0.0	0.04	0.04	0.02	0.05
Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system	975.0	0.0	0.02	0.02	0.01	0.0
Poisoning by agents primarily affecting skin & mucous membrane, ophthalmological, otorhinolaryngological, & dental drugs	976.0	0.0	0.02	0.01	0.01	0.0
Poisoning by water, mineral, and uric acid metabolism drugs	974.0	0.0	0.02	0.03	0.05	0.18
Adverse drug events and drug allergies	979.0	0.0	0.19	0.13	0.09	0.18
Toxic effect of (non-ethyl) alcohol and petroleum and other solvents	981.0	0.0	0.08	0.05	0.02	0.0
Toxic effect of other gases, fumes, or vapors	987.0	0.0	0.03	0.03	0.02	0.04
Toxic effect of corrosive aromatics, acids, and caustic alkalis	983.0	0.0	0.01	0.01	0.01	0.0
Toxic effect of other substances, chiefly nonmedicinal as to source	989.0	0.0	0.02	0.02	0.02	0.0
Toxic effect of other metals	985.0	0.0	0.02	0.01	0.01	0.0
Toxic effect of carbon monoxide	986.0	0.0	0.02	0.02	0.01	0.0
Toxic effect of noxious substances eaten as food	988.0	0.0	0.01	0.01	0.01	0.0
Toxic effect of venom	913.0	0.0	0.03	0.03	0.04	0.04
Anaphylactic shock NOS	946.0	0.0	0.12	0.16	0.19	0.13
Allergies, other	949.0	0.0	0.16	0.12	0.11	0.17
Certain early complications of trauma or procedure	958.0	0.0	0.1	0.11	0.12	0.12
Traumatic and surgical subcutaneous emphysema	958.2	0.0	0.02	0.02	0.03	0.04
Infusion and transfusion reaction	942.0	0.0	0.0	0.0	0.0	0.0
Adverse reaction to serum or vaccine	941.0	0.0	0.01	0.06	0.09	0.17
Hemorrhage or hematoma complicating a procedure	850.0	0.0	1.1	1.36	1.91	2.5
Postoperative shock	958.1	0.0	0.01	0.02	0.02	0.0
Complications of cardiac/vascular device, implant, and graft	854.0	0.0	0.37	0.6	1.16	1.42
Infection/inflammation of internal prosthetic device; implant; and graft	81.0	0.0	0.29	0.32	0.4	0.46
Complication due to other implant and internal device	859.0	0.0	0.54	0.86	1.23	1.33
Bone marrow or stem cell transplant	860.0	0.0	0.02	0.03	0.02	0.04
Lung transplant	510.2	0.0	0.01	0.01	0.01	0.0
Complications of transplants and reattached limbs	851.0	0.0	0.83	1.49	2.65	3.9
Complication of amputation stump	874.0	0.0	0.04	0.05	0.05	0.13
Suicide or self-inflicted injury	297.2	0.0	0.63	0.4	0.24	0.26
Suicidal ideation or attempt	297.0	0.0	0.01	0.01	0.01	0.0
Renal dialysis	585.31	0.0	0.11	0.16	0.22	0.32
Human immunodeficiency virus [HIV] disease	71.0	0.0	0.04	0.03	0.01	0.0
Other high-risk pregnancy	638.0	0.0	0.08	0.0	0.0	0.0
Ileostomy status	559.0	0.0	0.27	0.52	0.84	0.98
Chemotherapy	197.0	0.0	3.54	5.13	7.46	8.99
Radiotherapy	196.0	0.0	0.0	0.0	0.0	0.0
Personal history of diseases of blood and blood-forming organs	289.3	0.0	0.09	0.11	0.11	0.13
Personal history of diseases of digestive system	564.9	0.0	2.89	4.87	7.96	10.21
