Phenotype	PheCode	Asian (all)	Black (all)	Chinese (all)	Mixed (all)	White (all)	Other
Fracture of vertebral column without mention of spinal cord injury	805.0	0.06	0.05	0.0	0.0	0.1	0.08
Other disorders of cervical region	723.0	0.07	0.24	0.0	0.11	0.12	0.11
Intervertebral disc disorder with myelopathy	722.7	0.05	0.23	0.0	0.07	0.12	0.11
Cervical radiculitis	765.0	0.16	0.13	0.06	0.07	0.15	0.2
Displacement of intervertebral disc	722.1	0.09	0.12	0.13	0.14	0.1	0.16
Degeneration of intervertebral disc	722.6	1.06	0.91	0.39	0.84	0.87	0.93
Schmorl's nodes	722.3	0.01	0.01	0.0	0.0	0.01	0.0
Back pain	760.0	2.57	2.74	0.7	1.75	1.75	2.29
Neuralgia, neuritis, and radiculitis NOS	766.0	0.13	0.1	0.0	0.07	0.1	0.02
Cervicalgia	761.0	0.5	0.36	0.13	0.34	0.29	0.42
Sciatica	764.0	0.49	0.67	0.32	0.38	0.39	0.42
Myalgia and myositis unspecified	770.0	0.09	0.12	0.0	0.07	0.05	0.03
Infective connective tissue disorders	712.0	0.01	0.03	0.0	0.0	0.01	0.0
Disorders of muscle, ligament, and fascia	728.0	0.0	0.03	0.0	0.04	0.01	0.02
Muscular calcification and ossification	728.1	0.0	0.0	0.0	0.0	0.0	0.0
Rhabdomyolysis	772.4	0.0	0.0	0.0	0.0	0.0	0.0
Contracture of tendon (sheath)	727.7	0.02	0.03	0.07	0.04	0.04	0.03
Muscular wasting and disuse atrophy	772.1	0.0	0.01	0.0	0.03	0.01	0.0
Other disorders of soft tissues	729.0	0.43	0.36	0.07	0.33	0.34	0.28
Synovitis and tenosynovitis	727.1	0.56	0.81	0.59	0.51	0.71	0.9
Other disorders of synovium, tendon, and bursa	727.0	0.25	0.28	0.0	0.33	0.27	0.3
Rupture of synovium	727.5	0.1	0.11	0.0	0.22	0.12	0.12
Rupture of tendon, nontraumatic	727.6	0.04	0.03	0.0	0.04	0.03	0.0
Ganglion and cyst of synovium, tendon, and bursa	727.4	0.63	1.21	0.98	0.9	0.81	0.89
Symptoms involving nervous and musculoskeletal systems	781.0	0.76	0.77	0.13	0.52	0.58	0.7
Bursitis disorders	727.2	0.0	0.05	0.0	0.04	0.0	0.0
Bursitis	726.3	0.08	0.12	0.0	0.18	0.16	0.15
Fasciitis	728.7	0.2	0.07	0.07	0.11	0.07	0.1
Contracture of palmar fascia [Dupuytren's disease]	728.71	0.14	0.03	0.0	0.26	0.78	0.25
Peripheral enthesopathies and allied syndromes	726.0	3.17	2.76	1.69	2.74	2.47	2.96
Synoviopathy	726.2	0.03	0.05	0.0	0.11	0.1	0.17
Calcaneal spur; Exostosis NOS	726.4	0.02	0.01	0.0	0.04	0.01	0.0
Rheumatism, unspecified and fibrositis	729.1	0.1	0.12	0.0	0.07	0.1	0.07
Pain in limb	773.0	0.68	0.49	0.0	0.31	0.36	0.34
Swelling of limb	771.1	0.29	0.24	0.06	0.24	0.23	0.14
Pathologic fracture	743.2	0.0	0.0	0.0	0.0	0.01	0.02
Osteoporosis NOS	743.11	0.99	0.59	0.57	0.65	1.19	1.11
Other disorders of bone and cartilage	733.0	0.29	0.1	0.26	0.14	0.25	0.21
Malunion and nonunion of fracture	733.8	0.05	0.01	0.0	0.0	0.04	0.0
Cyst of bone	733.2	0.02	0.0	0.0	0.04	0.01	0.03
Osteopenia or other disorder of bone and cartilage	743.9	0.05	0.06	0.13	0.07	0.06	0.06
Acute osteomyelitis	710.11	0.01	0.0	0.0	0.0	0.0	0.0
Chronic osteomyelitis	710.12	0.0	0.03	0.0	0.0	0.01	0.0
Aseptic necrosis of bone	733.4	0.03	0.01	0.0	0.04	0.02	0.06
Osteitis deformans [Paget's disease of bone]	731.1	0.01	0.09	0.0	0.04	0.01	0.02
Osteopathy resulting from poliomyelitis	710.3	0.0	0.0	0.0	0.0	0.0	0.0
Congenital osteodystrophies	756.5	0.01	0.02	0.06	0.07	0.04	0.06
Osteochondritis dissecans	732.7	0.0	0.0	0.0	0.04	0.01	0.02
Other acquired musculoskeletal deformity	738.0	0.15	0.05	0.0	0.11	0.1	0.16
Complication of internal orthopedic device	858.0	0.55	0.57	0.33	0.89	1.08	0.94
Postlaminectomy syndrome	722.8	0.0	0.0	0.0	0.0	0.02	0.02
Nonallopathic lesions NEC	769.0	0.0	0.01	0.0	0.0	0.0	0.0
Dislocation	830.0	0.49	0.34	0.26	0.87	0.54	0.52
Proliferative glomerulonephritis	580.11	0.05	0.05	0.0	0.0	0.02	0.02
Non-proliferative glomerulonephritis	580.12	0.11	0.08	0.06	0.04	0.04	0.11
Hematuria	593.0	4.04	4.58	4.38	3.94	4.43	4.83
Chronic glomerulonephritis, NOS	580.14	0.35	0.31	0.06	0.25	0.21	0.24
Nephritis and nephropathy with pathological lesion	580.32	0.14	0.12	0.06	0.11	0.07	0.18
Proteinuria	269.0	0.22	0.21	0.13	0.07	0.1	0.05
Pyelonephritis	590.0	0.8	0.7	0.2	1.03	0.43	0.61
Stricture/obstruction of ureter	586.4	0.24	0.25	0.06	0.11	0.28	0.24
Urinary obstruction	599.1	0.01	0.04	0.07	0.0	0.05	0.07
Hydronephrosis	595.0	0.55	0.4	0.45	0.56	0.62	0.87
Vesicoureteral reflux	586.12	0.0	0.0	0.0	0.0	0.01	0.0
Acute renal failure	585.1	2.3	2.43	0.64	1.48	1.88	2.08
Chronic renal failure [CKD]	585.3	1.96	1.63	0.32	0.67	0.95	1.66
Renal failure NOS	585.2	0.63	0.73	0.13	0.43	0.41	0.47
Urinary calculus	594.0	0.18	0.06	0.0	0.04	0.13	0.18
Calculus of kidney	594.1	1.23	0.63	0.97	0.77	0.9	1.28
Calculus of ureter	594.3	0.91	0.4	0.58	0.45	0.65	0.73
Calculus of lower urinary tract	594.2	0.2	0.15	0.06	0.25	0.23	0.24
Renal colic	594.8	0.7	0.53	0.52	0.63	0.49	0.64
Renal osteodystrophy	588.1	0.0	0.0	0.0	0.0	0.0	0.02
Small kidney	586.11	0.12	0.12	0.0	0.04	0.06	0.11
Vascular disorders of kidney/hypertrophy	586.3	0.03	0.04	0.06	0.0	0.03	0.02
Cyst of kidney, acquired	586.2	0.44	0.63	0.32	0.39	0.44	0.6
Other disorders of the kidney and ureters	586.0	0.36	0.31	0.06	0.39	0.35	0.41
Cystitis	592.1	0.46	0.53	0.27	0.63	0.59	0.61
Acute cystitis	592.11	0.03	0.01	0.0	0.07	0.04	0.03
Chronic interstitial cystitis	592.13	0.11	0.07	0.0	0.04	0.08	0.05
Chronic cystitis	592.12	0.2	0.3	0.07	0.22	0.27	0.26
Functional disorders of bladder	596.5	0.39	0.26	0.2	0.42	0.44	0.39
Other disorders of bladder	596.0	2.01	2.2	1.35	1.64	2.14	1.94
Bladder neck obstruction	596.1	0.72	0.53	0.07	0.07	0.53	0.68
Urethritis and urethral syndrome	592.2	0.07	0.01	0.0	0.0	0.03	0.07
Urethral syndrome	592.21	0.0	0.0	0.0	0.0	0.01	0.0
Urethral stricture (not specified as infectious)	597.1	1.66	0.9	0.45	0.92	0.95	1.09
Urethral stricture due to infecton	592.3	0.0	0.0	0.0	0.0	0.0	0.0
Other disorders of urethra and urinary tract	597.0	0.1	0.27	0.26	0.18	0.23	0.16
Prolapse of vaginal walls	618.1	1.1	1.3	0.64	1.56	2.0	1.27
Other symptoms/disorders or the urinary system	599.0	2.58	2.09	1.7	1.65	1.92	1.91
Urinary tract infection	591.0	4.06	3.49	2.59	3.49	3.83	4.2
Urinary incontinence	599.4	2.07	1.91	1.38	2.38	2.51	2.04
stress incontinence, female	624.9	1.15	0.68	0.64	1.32	1.54	1.13
Hyperplasia of prostate	600.0	3.49	2.69	1.61	1.64	3.39	3.37
Prostatitis	601.1	0.28	0.14	0.2	0.07	0.18	0.38
Acute prostatitis	601.11	0.12	0.07	0.13	0.04	0.07	0.03
Chronic prostatitis	601.12	0.22	0.25	0.0	0.07	0.27	0.16
Other disorders of prostate	602.0	0.35	0.38	0.2	0.28	0.39	0.28
Hydrocele	603.1	0.32	0.44	0.07	0.21	0.39	0.44
Spermatocele	603.2	0.0	0.03	0.0	0.0	0.01	0.0
Other disorders of testis	603.0	0.27	0.27	0.07	0.11	0.26	0.35
Infertility, male	609.1	0.03	0.08	0.0	0.07	0.01	0.05
Redundant prepuce and phimosis/BXO	604.1	0.8	0.46	0.33	0.64	0.78	0.46
Disorders of penis	604.0	0.26	0.18	0.26	0.14	0.22	0.1
Balanoposthitis	601.4	0.05	0.03	0.13	0.11	0.08	0.05
Other inflammatory disorders of male genital organs	601.8	0.12	0.04	0.0	0.0	0.08	0.05
Other disorders of male genital organs	608.0	0.72	0.62	0.26	0.39	0.77	0.85
Other specified benign mammary dysplasias	610.8	0.25	0.18	0.06	0.21	0.17	0.09
Cystic mastopathy	610.1	0.11	0.14	0.52	0.18	0.21	0.16
Fibroadenosis of breast	610.2	0.06	0.08	0.13	0.11	0.07	0.11
Fibrosclerosis of breast	610.3	0.04	0.05	0.13	0.11	0.07	0.05
Inflammatory disease of breast	613.1	0.24	0.18	0.06	0.35	0.18	0.22
Hypertrophy of breast (Gynecomastia)	612.2	0.2	0.41	0.13	0.25	0.21	0.06
Lump or mass in breast	611.3	0.27	0.58	0.52	0.6	0.41	0.57
Other nonmalignant breast conditions	613.0	0.0	0.0	0.0	0.0	0.0	0.0
Galactorrhea	612.1	0.0	0.01	0.0	0.0	0.0	0.0
Mastodynia	613.5	0.02	0.01	0.06	0.03	0.02	0.02
Other signs and symptoms in breast	613.7	0.09	0.23	0.06	0.14	0.12	0.14
Other specified disorders of breast	613.8	0.08	0.19	0.0	0.14	0.09	0.12
Breast disorder NOS	613.9	0.02	0.03	0.0	0.1	0.04	0.02
Pelvic inflammatory disease (PID)	614.3	0.04	0.09	0.07	0.04	0.04	0.13
Acute inflammatory pelvic disease	614.31	0.01	0.01	0.0	0.0	0.01	0.0
Chronic inflammatory pelvic disease	614.32	0.11	0.34	0.07	0.36	0.11	0.24
Inflammatory disease of cervix, vagina, and vulva	614.5	0.05	0.04	0.0	0.04	0.04	0.06
Inflammatory diseases of uterus, except cervix	614.4	0.05	0.21	0.07	0.04	0.08	0.13
Cervicitis and endocervicitis	614.51	0.24	0.22	0.26	0.39	0.29	0.19
Inflammatory diseases of female pelvic organs	614.0	0.0	0.04	0.0	0.0	0.0	0.03
Pelvic inflammatory disease, NOS	614.33	0.04	0.26	0.0	0.14	0.08	0.11
Pelvic peritoneal adhesions, female (postoperative) (postinfection)	614.1	0.77	1.68	1.03	1.44	0.68	0.95
Cyst or abscess of Bartholin's gland	614.53	0.12	0.36	0.46	0.57	0.18	0.29
Vaginitis and vulvovaginitis	614.52	0.04	0.05	0.0	0.04	0.11	0.13
Abscess or ulceration of vulva	614.54	0.09	0.16	0.13	0.11	0.07	0.02
Endometriosis	615.0	1.06	1.51	0.78	1.69	0.99	1.08
Uterine/Uterovaginal prolapse	618.2	1.06	0.54	0.71	0.91	1.46	0.99
Vaginal enterocele, congenital or acquired	618.6	0.07	0.03	0.0	0.07	0.19	0.05
Genital prolapse	618.0	0.08	0.06	0.0	0.04	0.12	0.05
Disorders secondary to childbirth, surgery, trauma	617.0	0.08	0.2	0.13	0.14	0.08	0.1
Noninflammatory disorders of ovary, fallopian tube, and broad ligament	619.1	0.17	0.35	0.13	0.35	0.2	0.22
Ovarian cyst	628.0	0.93	1.86	1.63	2.0	1.27	1.58
Atrophy of female genital tract	624.2	0.08	0.14	0.0	0.07	0.13	0.11
Polyp of corpus uteri	622.1	1.88	2.49	1.69	2.65	2.12	2.35
Mucous polyp of cervix	622.2	0.74	0.72	1.37	0.92	0.83	0.82
Polyp of female genital organs	622.0	0.02	0.04	0.07	0.11	0.06	0.02
Endometrial hyperplasia	621.0	0.32	0.32	0.53	0.32	0.3	0.45
Hypertrophy of female genital organs	623.0	0.27	0.73	0.46	0.46	0.33	0.45
Other complications of the puerperium NEC	674.0	0.11	0.19	0.13	0.24	0.07	0.22
Disorders of uterus, NEC	619.2	0.8	1.22	1.04	1.06	0.9	0.95
Disorders of menstruation and other abnormal bleeding from female genital tract	626.0	0.64	0.8	0.48	0.8	0.43	0.59
Noninflammatory disorders of cervix	619.3	0.64	0.85	1.23	1.02	0.7	0.89
Symptoms involving female genital tract	624.0	0.0	0.0	0.0	0.0	0.0	0.0
Dysplasia of female genital organs	620.0	0.03	0.04	0.0	0.0	0.02	0.0
Noninflammatory disorders of vagina	619.4	0.3	0.31	0.26	0.39	0.43	0.51
Irregular menstrual cycle/bleeding	626.1	0.38	0.28	0.28	0.42	0.46	0.47
Dystrophy of female genital tract	624.1	0.05	0.0	0.0	0.04	0.08	0.05
Noninflammatory disorders of vulva and perineum	619.5	0.35	0.45	0.33	0.71	0.36	0.4
Absent or infrequent menstruation	626.11	0.07	0.17	0.0	0.04	0.03	0.03
Excessive or frequent menstruation	626.12	2.98	6.26	2.63	4.73	2.27	3.21
Irregular menstrual bleeding	626.14	0.93	0.99	0.82	1.67	0.96	1.33
Premenopausal menorrhagia	627.4	0.07	0.14	0.14	0.12	0.08	0.05
Irregular menstrual cycle	626.13	0.45	0.52	0.55	0.76	0.45	0.44
Pain and other symptoms associated with female genital organs	625.0	0.43	0.7	0.83	0.59	0.48	0.58
Mittelschmerz	626.21	0.0	0.01	0.07	0.0	0.01	0.0
Dyspareunia	625.1	0.17	0.13	0.19	0.42	0.27	0.21
Premenstrual tension syndromes	626.4	0.02	0.03	0.0	0.08	0.04	0.05
Dysmenorrhea	626.2	0.56	0.92	0.41	0.57	0.4	0.61
Noninflammatory female genital disorders	619.0	0.03	0.15	0.07	0.07	0.05	0.05
Postmenopausal bleeding	627.1	2.09	2.46	2.1	2.33	2.48	2.36
Symptomatic menopause	627.2	0.04	0.04	0.0	0.15	0.05	0.03
Postmenopausal atrophic vaginitis	627.3	0.26	0.21	0.21	0.31	0.34	0.2
Menopausal and postmenopausal disorders	627.0	0.14	0.13	0.0	0.27	0.16	0.12
Miscarriage; stillbirth	634.0	1.87	3.11	2.99	2.72	1.06	2.16
Infertility, female	626.8	0.48	0.84	1.03	0.76	0.26	0.44
Infertility, female, associated with anovulation	626.15	0.0	0.0	0.0	0.0	0.0	0.0
Postoperative infection	80.0	1.1	1.31	0.7	1.17	1.24	1.26
Prolapse of vaginal vault after hysterectomy	618.5	0.06	0.04	0.0	0.07	0.14	0.05
Urinary complications NEC	597.2	0.02	0.0	0.0	0.0	0.02	0.03
Ectopic pregnancy	634.3	0.12	0.14	0.2	0.22	0.07	0.06
Missed abortion/Hydatidiform mole	634.1	0.49	0.67	0.6	1.01	0.3	0.56
Hypertension complicating pregnancy, childbirth, and the puerperium	642.0	0.41	0.74	0.57	0.62	0.25	0.34
Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	649.0	0.06	0.09	0.13	0.0	0.03	0.05
Other complications of pregnancy NEC	646.0	0.99	1.71	0.83	1.89	0.59	1.4
Preeclampsia and eclampsia	642.1	0.21	0.35	0.06	0.17	0.08	0.08
Hemorrhage in early pregnancy	636.3	0.23	0.46	0.53	0.58	0.22	0.45
Excessive vomiting in pregnancy	643.0	0.07	0.11	0.06	0.14	0.02	0.06
Hyperemesis gravidarum	643.1	0.12	0.19	0.06	0.14	0.03	0.14
Venous/cerebrovascular complications embolism in pregnancy and the puerperium	671.0	0.07	0.09	0.13	0.1	0.05	0.03
Infections of genitourinary tract during pregnancy	647.1	0.13	0.29	0.32	0.1	0.07	0.11
Diabetes or abnormal glucose tolerance complicating pregnancy	649.1	0.31	0.21	0.19	0.24	0.05	0.22
Mechanical complication of unspecified genitourinary device, implant, and graft	857.0	0.3	0.63	0.2	0.29	0.4	0.31
Complications of labor and delivery NEC	669.0	1.05	1.64	1.18	1.31	0.68	1.11
Other perinatal conditions of fetus or newborn	656.0	0.24	0.44	0.51	0.48	0.13	0.19
Multiple gestation	651.0	0.11	0.19	0.0	0.34	0.09	0.2
Malposition and malpresentation of fetus or obstruction	652.0	0.64	0.91	0.71	0.84	0.44	0.6
Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium	654.1	0.67	0.7	0.84	0.87	0.3	0.66
Cervical incompetence	636.8	0.04	0.14	0.0	0.07	0.01	0.03
Known or suspected fetal abnormality affecting management of mother	655.0	1.75	2.78	1.98	2.75	1.12	1.76
Complications of in utero procedures	679.0	0.03	0.02	0.0	0.0	0.01	0.05
Rhesus isoimmunization in pregnancy	654.2	0.06	0.11	0.07	0.11	0.07	0.03
Problems associated with amniotic cavity and membranes	653.0	0.81	0.85	1.1	0.73	0.39	0.63
Antepartum hemorrhage, abruptio placentae, and placenta previa	635.2	0.35	0.64	0.4	0.79	0.22	0.27
Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)	794.0	0.04	0.02	0.0	0.1	0.03	0.02
Early or threatened labor; hemorrhage in early pregnancy	636.0	0.4	0.65	0.47	0.94	0.26	0.43
Late pregnancy and failed induction	645.0	0.26	0.51	0.25	0.55	0.32	0.39
Early onset of delivery	636.2	0.47	0.59	0.27	0.61	0.16	0.34
Fetal distress and abnormal forces of labor	661.0	0.7	0.77	0.66	1.14	0.56	0.97
Umbilical cord complications during labor and delivery	663.0	0.32	0.41	0.2	0.22	0.15	0.24
Obstetrical/birth trauma	665.0	1.64	2.11	2.71	3.07	1.35	1.61
Hemorrhage during pregnancy; childbirth and postpartum	635.0	0.0	0.0	0.0	0.0	0.0	0.0
Placenta previa and abruptio placenta	635.3	0.55	0.77	0.99	0.58	0.32	0.64
Coagulation defects complicating pregnancy or postpartum	286.3	0.02	0.03	0.0	0.03	0.02	0.0
Complications of the administration of anesthetic or other sedation in labor and delivery	668.0	0.01	0.01	0.0	0.0	0.01	0.02
Infectious and parasitic complications affecting pregnancy	647.0	0.04	0.08	0.13	0.1	0.02	0.0
Normal delivery	650.0	0.89	1.58	0.83	1.48	0.49	0.81
Major puerperal infection	647.3	0.02	0.03	0.06	0.0	0.01	0.03
Other and unspecified complications of birth; puerperium affecting management of mother	654.0	0.06	0.08	0.13	0.04	0.02	0.03
Other disorders of the breast associated with childbirth and disorders of lactation	676.0	0.02	0.03	0.0	0.0	0.02	0.0
Anemia during pregnancy	644.0	0.61	0.66	0.96	0.38	0.21	0.4
Maternal complication of pregnancy affecting fetus or newborn	658.0	0.0	0.0	0.0	0.0	0.0	0.0
Short gestation; low birth weight; and fetal growth retardation	637.0	0.0	0.0	0.0	0.0	0.0	0.0
Transitory tachypnea or apnea of newborn	656.26	0.0	0.0	0.0	0.0	0.0	0.0
Interstitial emphysema and related conditions of newborn	656.22	0.0	0.0	0.0	0.0	0.0	0.0
Cardiac and circulatory congenital anomalies	747.0	0.02	0.0	0.06	0.0	0.01	0.0
Hematological disorders of newborn	656.5	0.0	0.0	0.0	0.0	0.0	0.0
Conditions involving the integument and temperature regulation of fetus and newborn	656.7	0.0	0.0	0.0	0.0	0.0	0.0
Neural tube defects	752.1	0.02	0.01	0.0	0.03	0.02	0.0
Nervous system congenital anomalies	752.0	0.0	0.0	0.0	0.0	0.0	0.0
Spina bifida	752.11	0.02	0.07	0.0	0.07	0.06	0.05
Cardiac congenital anomalies	747.1	0.05	0.05	0.0	0.07	0.06	0.06
Congenital anomalies of face and neck	749.0	0.07	0.06	0.06	0.14	0.07	0.06
Congenital anomalies of the eye	753.0	0.0	0.04	0.0	0.03	0.01	0.06
Congenital cataract and lens anomalies	753.1	0.0	0.05	0.0	0.03	0.02	0.02
Congenital anomalies of posterior segment of eye	753.2	0.0	0.0	0.0	0.0	0.0	0.0
Cardiac shunt/ heart septal defect	747.11	0.17	0.17	0.06	0.1	0.16	0.2
Valvular heart disease/ heart chambers	747.12	0.09	0.0	0.0	0.0	0.08	0.03
Congenital anomalies of peripheral vascular system	747.2	0.03	0.01	0.0	0.03	0.05	0.03
Anomalies of respiratory system, congenital	748.0	0.02	0.01	0.06	0.0	0.01	0.03
Congenital anomalies of mouth/tongue	750.13	0.06	0.01	0.06	0.0	0.06	0.03
Upper gastrointestinal congenital anomalies	750.1	0.0	0.0	0.0	0.0	0.01	0.0
Congenital anomalies of esophagus	750.14	0.01	0.0	0.0	0.0	0.01	0.03
Esophageal atresia/tracheoesophageal fistula	750.11	0.01	0.01	0.06	0.0	0.01	0.0
Congenital hypertrophic pyloric stenosis	750.5	0.0	0.0	0.0	0.0	0.0	0.0
Congenital anomalies of stomach	750.15	0.0	0.0	0.0	0.03	0.01	0.0
Congenital anomalies of intestine	750.21	0.01	0.03	0.0	0.1	0.06	0.06
Congenital anomaly of gallbladder, bile ducts, liver, pancreas	750.22	0.0	0.03	0.0	0.07	0.03	0.02
Digestive congenital anomalies	750.0	0.0	0.0	0.0	0.0	0.0	0.0
Lower gastrointestinal congenital anomalies	750.2	0.0	0.0	0.0	0.0	0.0	0.0
Congenital anomalies of female genital organs	751.11	0.11	0.14	0.06	0.07	0.12	0.11
Congenital anomalies of genital organs	751.1	0.0	0.01	0.0	0.0	0.01	0.0
Congenital anomalies of male genital organs	751.12	0.08	0.06	0.06	0.0	0.05	0.09
Other specified congenital anomalies of kidney	751.22	0.09	0.11	0.0	0.1	0.1	0.13
Cystic kidney disease	751.21	0.06	0.1	0.0	0.07	0.12	0.2
Obstructive genitourinary defect	751.3	0.0	0.0	0.0	0.07	0.0	0.02
Congenital anomalies of urinary system	751.2	0.0	0.01	0.0	0.0	0.02	0.03
Congenital hip dysplasia and deformity	755.61	0.01	0.01	0.0	0.03	0.03	0.02
Congenital deformities of feet	755.1	0.03	0.05	0.0	0.03	0.06	0.05
Congenital musculoskeletal deformities of spine	754.0	0.06	0.02	0.0	0.0	0.03	0.08
Pectus excavatum	756.21	0.0	0.0	0.0	0.0	0.0	0.0
Pectus carinatum	756.22	0.0	0.0	0.0	0.0	0.0	0.0
Other congenital musculoskeletal anomalies	756.0	0.0	0.04	0.0	0.07	0.02	0.02
Congenital anomalies of upper limb, including shoulder girdle	755.4	0.01	0.02	0.0	0.03	0.01	0.02
Other congenital anomalies of lower limb, including pelvic girdle	755.6	0.04	0.01	0.0	0.0	0.01	0.02
Congenital anomaly of fingers/toes	755.3	0.01	0.0	0.0	0.03	0.01	0.0
Congenital anomalies of limbs	755.0	0.0	0.01	0.0	0.0	0.0	0.0
Congenital anomalies of skull and face bones	749.2	0.0	0.0	0.0	0.03	0.01	0.0
Spondylolisthesis, congenital	754.2	0.0	0.0	0.0	0.0	0.0	0.0
Pectus and other congenital anomalies of ribs/sternum	756.2	0.02	0.0	0.0	0.0	0.0	0.0
Congenital anomalies of abdominal wall; diaphram	756.1	0.0	0.02	0.06	0.0	0.01	0.02
Congenital anomalies of muscle, tendon, fascia, and connective tissue	756.3	0.0	0.04	0.0	0.03	0.02	0.02
Ichthyosis congenita	691.1	0.02	0.0	0.0	0.0	0.0	0.0
Congenital anomalies of skin	691.0	0.01	0.01	0.0	0.0	0.02	0.0
Congenital anomalies of the integument	757.0	0.0	0.02	0.0	0.03	0.0	0.0
Congenital pigmentary anomalies of skin	691.3	0.0	0.0	0.0	0.0	0.01	0.0
Vascular hamartomas and non-neoplastic nevi	217.0	0.02	0.0	0.0	0.0	0.01	0.02
Congenital anomalies of breast	612.3	0.13	0.06	0.0	0.0	0.02	0.02
Neurofibromatosis	199.4	0.03	0.03	0.07	0.0	0.03	0.02
Other and unspecified congenital anomalies	759.0	0.06	0.01	0.06	0.03	0.03	0.03
Chromosomal anomalies and genetic disorders	758.0	0.03	0.0	0.0	0.0	0.02	0.02
Anomalies of endocrine glands, congenital	759.1	0.01	0.04	0.06	0.0	0.02	0.03
Chromosomal anomalies	758.1	0.06	0.04	0.0	0.03	0.03	0.05
Abnormal heart sounds	396.0	0.26	0.29	0.26	0.21	0.35	0.28
Tachycardia NOS	427.7	0.74	0.81	0.66	0.4	0.78	0.82
Palpitations	427.9	1.33	1.59	0.93	1.26	1.19	1.41
Gangrene	791.0	0.18	0.19	0.25	0.24	0.19	0.19
Elevated blood pressure reading without diagnosis of hypertension	402.0	0.7	0.67	0.37	0.55	0.56	0.84
Hypotension	458.0	0.42	0.29	0.39	0.36	0.37	0.31
Hemoptysis	516.1	0.8	0.65	0.51	0.96	0.59	0.75
Epistaxis or throat hemorrhage	477.0	0.58	0.53	0.4	0.65	0.73	0.67
Cough	512.8	1.22	1.2	0.83	0.95	0.92	1.18
Shortness of breath	512.7	2.68	2.42	0.77	2.43	1.84	2.46
Wheezing	512.1	0.18	0.1	0.0	0.14	0.08	0.11
Apnea	513.31	0.0	0.0	0.0	0.0	0.0	0.0
Hyperventilation	513.4	0.06	0.1	0.0	0.1	0.07	0.14
Symptoms involving head and neck	293.0	0.81	0.84	0.45	0.9	0.54	0.87
Other dyspnea	512.9	0.34	0.17	0.06	0.35	0.27	0.27
Throat pain	478.0	0.18	0.12	0.0	0.18	0.11	0.16
Painful respiration	512.2	0.11	0.12	0.0	0.07	0.06	0.1
Precordial pain	418.1	2.3	1.54	0.4	1.15	1.21	1.3
Nonspecific chest pain	418.0	13.59	11.0	4.98	8.26	7.93	11.06
Respiratory arrest	509.5	0.11	0.05	0.06	0.0	0.04	0.08
Abnormal sputum	516.0	0.0	0.01	0.0	0.0	0.03	0.03
Symptoms involving cardiovascular system	429.3	0.01	0.1	0.06	0.07	0.06	0.1
Nausea and vomiting	789.0	3.97	3.7	2.36	3.54	3.43	3.91
Heartburn	530.9	0.86	0.7	0.34	0.98	0.65	0.59
Dysphagia	532.0	2.69	2.3	2.03	1.98	2.19	2.25
Flatulence	561.2	0.89	0.78	0.5	0.71	0.66	0.69
Symptoms involving digestive system	561.0	4.66	3.98	3.67	4.37	5.13	4.4
Splenomegaly	579.2	0.11	0.13	0.07	0.15	0.14	0.17
Hepatomegaly	573.3	0.08	0.19	0.0	0.14	0.09	0.06
Jaundice (not of newborn)	573.5	0.19	0.19	0.07	0.21	0.27	0.29
Ascites (non malignant)	572.0	0.46	0.55	0.26	0.42	0.5	0.64
Other symptoms involving abdomen and pelvis	579.0	0.4	0.4	0.34	0.37	0.34	0.22
Nonspecific abnormal findings in stool contents	579.8	0.84	0.76	0.55	0.41	0.6	0.71
Disturbance of skin sensation	687.4	0.99	1.13	0.38	1.15	0.82	0.83
Localized superficial swelling, mass, or lump	687.2	0.12	0.08	0.06	0.14	0.06	0.05
Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	293.1	0.27	0.35	0.26	0.31	0.25	0.3
Symptoms involving respiratory system and other chest symptoms	519.9	0.09	0.17	0.0	0.25	0.08	0.08
Musculoskeletal symptoms referable to limbs	771.0	0.25	0.31	0.13	0.34	0.23	0.33
Symptoms affecting skin	687.0	0.05	0.03	0.0	0.04	0.08	0.02
Pallor and flushing	782.6	0.0	0.04	0.0	0.03	0.06	0.03
Spontaneous ecchymoses	287.1	0.03	0.04	0.0	0.0	0.04	0.03
Changes in skin texture	687.3	0.02	0.03	0.0	0.0	0.03	0.0
Abnormal involuntary movements	350.1	0.23	0.21	0.06	0.55	0.29	0.38
Abnormality of gait	350.2	0.62	0.66	0.13	0.83	0.64	0.66
Difficulty in walking	741.3	0.07	0.14	0.0	0.1	0.06	0.11
Lack of coordination	350.3	0.08	0.08	0.0	0.03	0.11	0.14
Abnormal reflex	350.5	0.0	0.0	0.0	0.0	0.01	0.0
Abnormal posture	781.2	0.0	0.0	0.0	0.0	0.0	0.0
Dysuria	599.3	0.73	0.48	0.2	0.33	0.34	0.63
Other symptoms involving urinary system	599.8	0.01	0.03	0.0	0.0	0.02	0.0
Retention of urine	599.2	1.93	1.59	0.79	1.44	2.29	1.85
Oliguria and anuria	599.6	0.08	0.05	0.0	0.04	0.04	0.0
Frequency of urination and polyuria	599.5	1.24	1.39	0.66	1.01	1.1	1.31
