Phenotype	PheCode	1	2	3	4	5
Amyloidosis	270.33	0.04	0.04	0.04	0.04	0.04
Retinal vascular changes and abnomalities	362.4	0.27	0.27	0.26	0.28	0.28
Hypertensive heart disease	401.21	0.05	0.05	0.08	0.08	0.1
Benign neoplasm of lip, oral cavity, and pharynx	210.0	0.23	0.24	0.25	0.27	0.28
Disorders resulting from impaired renal function	588.0	0.02	0.02	0.03	0.02	0.05
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	528.0	0.52	0.59	0.55	0.56	0.6
Congenital anomalies of great vessels	747.13	0.51	0.53	0.58	0.58	0.7
Acute cystitis	592.11	0.04	0.04	0.03	0.05	0.05
Painful respiration	512.2	0.05	0.05	0.07	0.08	0.09
Malignant neoplasm of female breast	174.11	3.44	3.46	3.45	3.52	3.17
Hallux valgus (Bunion)	735.3	1.74	1.72	1.82	1.89	1.85
Aphakia and other disorders of lens	379.3	0.6	0.64	0.7	0.67	0.65
Spondylosis and allied disorders	721.0	0.23	0.28	0.3	0.33	0.52
Conductive hearing loss	389.2	0.09	0.11	0.12	0.11	0.14
Coma	348.7	0.08	0.08	0.12	0.11	0.16
