Phenotype	PheCode	Asian	Chinese	Black	Mixed	White	Other
Poisoning by anticonvulsants and anti-Parkinsonism drugs	966.0	0.16	0.0	0.09	0.26	0.15	0.19
Abnormal findings examination of lungs	514.0	0.92	0.57	0.62	0.83	0.81	0.78
Other dyspnea	512.9	0.34	0.06	0.17	0.35	0.27	0.27
Paroxysmal supraventricular tachycardia	427.11	0.73	0.4	0.51	0.44	0.75	0.53
Muscular dystrophies	359.1	0.03	0.0	0.04	0.03	0.04	0.05
Organic or persistent insomnia	327.41	0.05	0.0	0.06	0.0	0.05	0.08
Otitis externa	380.1	0.15	0.0	0.11	0.17	0.14	0.12
Chorioretinal inflammations, scars, and other disorders of choroid	363.0	0.04	0.0	0.03	0.04	0.03	0.06
Vascular dementia	290.16	0.12	0.0	0.15	0.07	0.1	0.06
Varicose veins	454.0	0.1	0.07	0.18	0.08	0.15	0.17
Tuberculosis	10.0	0.82	0.2	0.46	0.14	0.04	0.33
Other derangement of joint	742.9	0.17	0.06	0.2	0.24	0.19	0.14
Other peripheral nerve disorders	351.0	2.9	2.3	3.26	3.46	3.41	3.59
Congenital anomalies of face and neck	749.0	0.07	0.06	0.06	0.14	0.07	0.06
Complications of cardiac/vascular device, implant, and graft	854.0	1.14	0.39	0.75	0.82	0.78	0.63
Retention of urine	599.2	1.93	0.79	1.59	1.44	2.29	1.85
Hypothermia/Chills	780.0	0.12	0.0	0.04	0.07	0.06	0.06
Traumatic arthropathy	836.0	0.05	0.0	0.05	0.07	0.07	0.13
Chronic sinusitis	475.0	0.79	0.53	0.55	0.69	0.71	0.54
Sebaceous cyst	706.2	1.9	1.09	1.8	1.86	2.19	2.29
Malignant neoplasm of liver, primary	155.1	0.11	0.2	0.04	0.0	0.05	0.15
Viral pneumonia	480.2	0.03	0.0	0.01	0.0	0.02	0.02
Oral aphthae	528.12	0.04	0.0	0.01	0.0	0.02	0.02
Visual field defects	368.4	0.13	0.0	0.16	0.1	0.11	0.09
Aneurysm of iliac artery	442.2	0.01	0.0	0.01	0.03	0.03	0.03
Carbuncle and furuncle	686.1	1.29	0.13	1.37	0.91	0.67	0.78
Poisoning by drugs primarily affecting the autonomic nervous system	971.0	0.0	0.0	0.05	0.08	0.05	0.02
Altered mental status	292.4	0.69	0.13	0.65	0.56	0.78	0.83
E. coli	41.4	1.2	1.11	0.89	0.89	0.94	1.06
Viral hepatitis	70.0	0.11	0.97	0.27	0.03	0.07	0.37
Calculus of bile duct	574.2	0.45	0.26	0.2	0.67	0.78	0.57
Fibrosclerosis of breast	610.3	0.04	0.13	0.05	0.11	0.07	0.05
Pulmonary collapse; interstitial and compensatory emphysema	508.0	0.53	0.19	0.59	0.53	0.75	0.59
Spinal stenosis	720.0	0.24	0.19	0.31	0.21	0.23	0.21
Cholesterolosis of gallbladder	575.6	0.13	0.0	0.03	0.18	0.13	0.06
Ptosis of eyelid	374.3	0.6	0.52	0.57	0.21	0.54	0.53
Chemotherapy	197.0	4.76	3.1	4.81	5.11	5.79	5.71
Nodular lymphoma	202.21	0.09	0.0	0.03	0.07	0.11	0.11
Disorders of lacrimal system	375.0	1.01	0.58	0.56	0.45	0.49	0.55
Nephritis and nephropathy with pathological lesion	580.32	0.14	0.06	0.12	0.11	0.07	0.18
Diseases of white blood cells	288.0	0.19	0.0	0.18	0.18	0.19	0.22
Gastritis and duodenitis	535.0	7.22	5.13	5.6	4.93	5.24	6.24
Chronic pericarditis	420.22	0.04	0.0	0.03	0.0	0.02	0.03
Protein-calorie malnutrition	260.0	0.06	0.0	0.03	0.03	0.06	0.09
Emphysema	496.1	0.17	0.2	0.22	0.46	0.63	0.45
Cerebral artery occlusion, with cerebral infarction	433.21	0.58	0.26	0.72	0.46	0.56	0.45
Other hemoglobinopathies	282.8	1.0	1.06	1.11	0.48	0.03	0.47
Nonspecific abnormal findings on radiological and other examination of skull and head	346.1	0.02	0.0	0.05	0.04	0.05	0.03
Uterine leiomyoma	218.1	2.87	4.21	10.99	6.02	2.62	4.62
Respiratory failure	509.1	0.76	0.06	0.54	0.56	0.64	0.77
Viral hepatitis C	70.3	0.11	0.13	0.29	0.17	0.09	0.56
Unstable angina (intermediate coronary syndrome)	411.1	3.3	0.92	1.01	1.13	1.44	1.95
Pericarditis	420.2	0.37	0.32	0.59	0.28	0.34	0.39
Hearing loss	389.0	1.02	0.51	0.51	0.59	1.08	0.78
Poisoning by analgesics, antipyretics, and antirheumatics	965.0	1.66	1.39	1.91	2.72	1.89	2.26
Dysplasia of female genital organs	620.0	0.03	0.0	0.04	0.0	0.02	0.0
Learning disorder	315.1	0.06	0.0	0.07	0.17	0.05	0.03
Congenital anomalies of breast	612.3	0.13	0.0	0.06	0.0	0.02	0.02
Myeloid leukemia, acute	204.21	0.04	0.0	0.04	0.0	0.1	0.02
Acute pharyngitis	465.2	0.35	0.26	0.34	0.31	0.25	0.3
Respiratory complications	519.2	0.13	0.13	0.09	0.11	0.08	0.05
Optic neuritis/neuropathy	377.3	0.03	0.06	0.08	0.07	0.05	0.05
Acute laryngitis and tracheitis	465.4	0.01	0.0	0.04	0.0	0.04	0.05
Fracture of radius and ulna	803.2	0.1	0.0	0.05	0.14	0.2	0.06
Alcoholism	317.1	1.22	0.39	1.4	1.93	2.7	1.82
Anomalies of tooth position/malocclusion	524.3	0.09	0.13	0.17	0.04	0.08	0.05
Reflux esophagitis	530.14	3.62	1.69	2.09	1.98	3.28	2.45
Disorders secondary to childbirth, surgery, trauma	617.0	0.08	0.13	0.2	0.14	0.08	0.1
Cystitis	592.1	0.46	0.27	0.53	0.63	0.59	0.61
Fibroadenosis of breast	610.2	0.06	0.13	0.08	0.11	0.07	0.11
Chronic laryngitis	473.1	0.04	0.07	0.01	0.0	0.02	0.0
Other disorders of ear	388.0	0.02	0.06	0.05	0.07	0.03	0.02
Bone cancer	170.1	0.07	0.0	0.02	0.03	0.04	0.08
Urethritis and urethral syndrome	592.2	0.07	0.0	0.01	0.0	0.03	0.07
Decubitus ulcer	707.1	0.06	0.0	0.03	0.0	0.08	0.05
Primary biliary cirrhosis	571.6	0.04	0.0	0.01	0.11	0.08	0.1
Erythema nodosum	695.81	0.06	0.0	0.03	0.03	0.02	0.05
Aortic valve disease	394.3	0.46	0.45	0.32	0.28	0.43	0.35
Other disorders of urethra and urinary tract	597.0	0.1	0.26	0.27	0.18	0.23	0.16
Cancer of major salivary glands	145.3	0.03	0.0	0.04	0.03	0.03	0.03
Other disorders of testis	603.0	0.27	0.07	0.27	0.11	0.26	0.35
Other benign neoplasm of connective and other soft tissue	215.0	0.34	0.39	0.37	0.35	0.29	0.19
Vascular disorders of kidney/hypertrophy	586.3	0.03	0.06	0.04	0.0	0.03	0.02
Fracture of humerus	803.1	0.02	0.06	0.01	0.0	0.06	0.05
Asthma with exacerbation	495.2	0.1	0.0	0.21	0.35	0.08	0.21
Uterine/Uterovaginal prolapse	618.2	1.06	0.71	0.54	0.91	1.46	0.99
Schizophrenia	295.1	0.24	0.2	0.9	0.9	0.19	0.54
Malignant neoplasm of rectum, rectosigmoid junction, and anus	153.3	0.27	0.2	0.28	0.44	0.65	0.45
Other disorders of neurohypophysis	253.7	0.11	0.06	0.01	0.0	0.05	0.06
Cervical radiculitis	765.0	0.16	0.06	0.13	0.07	0.15	0.2
Empyema and pneumothorax	506.0	0.24	0.06	0.4	0.21	0.35	0.42
Encephalitis	323.0	0.05	0.0	0.09	0.07	0.08	0.08
Problems associated with amniotic cavity and membranes	653.0	0.81	1.1	0.85	0.73	0.39	0.63
Paroxysmal tachycardia, unspecified	427.1	0.03	0.0	0.03	0.0	0.03	0.02
Excessive vomiting in pregnancy	643.0	0.07	0.06	0.11	0.14	0.02	0.06
Aneurysm and dissection of heart	411.41	0.3	0.07	0.09	0.15	0.23	0.24
Althete's foot	110.12	0.05	0.0	0.04	0.07	0.04	0.05
Other hypertensive complications	401.3	0.09	0.0	0.16	0.08	0.05	0.06
Poisoning by antibiotics	960.0	0.84	0.93	0.76	1.38	1.19	1.18
Functional disorders of bladder	596.5	0.39	0.2	0.26	0.42	0.44	0.39
Other symptoms/disorders or the urinary system	599.0	2.58	1.7	2.09	1.65	1.92	1.91
Respiratory arrest	509.5	0.11	0.06	0.05	0.0	0.04	0.08
Hepatomegaly	573.3	0.08	0.0	0.19	0.14	0.09	0.06
Abnormality of red blood cells	289.9	0.03	0.06	0.01	0.0	0.03	0.02
Subarachnoid hemorrhage	430.1	0.18	0.06	0.31	0.21	0.22	0.19
Pallor and flushing	782.6	0.0	0.0	0.04	0.03	0.06	0.03
Enthesopathy	726.1	2.39	1.44	1.93	2.21	2.0	2.22
Retinal detachment with retinal defect	361.1	0.32	0.13	0.25	0.25	0.42	0.24
Cyst of the salivary gland	528.41	0.01	0.0	0.05	0.0	0.03	0.02
Periapical abscess	522.5	0.35	0.2	0.7	0.36	0.34	0.43
Functional digestive disorders	564.0	0.21	0.0	0.16	0.21	0.31	0.23
Mechanical complication of unspecified genitourinary device, implant, and graft	857.0	0.3	0.2	0.63	0.29	0.4	0.31
Amyloidosis	270.33	0.04	0.06	0.11	0.03	0.04	0.03
Retinal vascular changes and abnomalities	362.4	0.5	0.2	0.21	0.18	0.27	0.31
Hypertensive heart disease	401.21	0.17	0.08	0.33	0.04	0.06	0.16
Benign neoplasm of lip, oral cavity, and pharynx	210.0	0.28	0.32	0.16	0.34	0.26	0.2
Disorders resulting from impaired renal function	588.0	0.05	0.0	0.04	0.0	0.03	0.08
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	528.0	0.74	0.38	0.42	0.49	0.56	0.55
Congenital anomalies of great vessels	747.13	0.53	0.19	0.14	0.21	0.59	0.36
Acute cystitis	592.11	0.03	0.0	0.01	0.07	0.04	0.03
Painful respiration	512.2	0.11	0.0	0.12	0.07	0.06	0.1
Malignant neoplasm of female breast	174.11	2.06	2.36	1.94	3.21	3.48	2.57
Hallux valgus (Bunion)	735.3	1.12	1.22	1.65	2.32	1.82	1.77
Aphakia and other disorders of lens	379.3	0.8	0.71	0.57	0.28	0.65	0.57
Spondylosis and allied disorders	721.0	0.33	0.19	0.36	0.21	0.33	0.24
Conductive hearing loss	389.2	0.15	0.13	0.03	0.03	0.12	0.06
Coma	348.7	0.13	0.07	0.12	0.11	0.11	0.1
